RULE_NUMBER,RULE_NAME
1.1, Ensure that Corporate Login Credentials are Used (Manual) 
1.2, Ensure that Multi-Factor Authentication is 'Enabled' for All Non-Service Accounts (Manual) 
1.3, Ensure that Security Key Enforcement is Enabled for All Admin Accounts (Manual) 
1.4, Ensure That There Are Only GCP-Managed Service Account Keys for Each Service Account (Automated) 
1.5, Ensure That Service Account Has No Admin Privileges (Automated) 
1.6, Ensure That IAM Users Are Not Assigned the Service Account User or Service Account Token Creator Roles at Project Level (Automated) 
1.7, Ensure User-Managed/External Keys for Service Accounts Are Rotated Every 90 Days or Fewer (Automated) 
1.8, Ensure That Separation of Duties Is Enforced While Assigning Service Account Related Roles to Users (Automated) 
1.10, Ensure KMS Encryption Keys Are Rotated Within a Period of 90 Days (Automated) 
1.11, Ensure That Separation of Duties Is Enforced While Assigning KMS Related Roles to Users (Automated) 
1.12, Ensure API Keys Only Exist for Active Services (Automated) 
1.13, Ensure API Keys Are Restricted To Use by Only Specified Hosts and Apps (Manual) 
1.14, Ensure API Keys Are Restricted to Only APIs That Application Needs Access (Automated) 
1.15, Ensure API Keys Are Rotated Every 90 Days (Automated) 
1.16, Ensure Essential Contacts is Configured for Organization (Automated) 
1.17, Ensure that Dataproc Cluster is encrypted using Customer-Managed Encryption Key (Automated) 
1.18, Ensure Secrets are Not Stored in Cloud Functions Environment Variables by Using Secret Manager (Manual) 
2.1, Ensure That Cloud Audit Logging Is Configured Properly (Automated) 
2.2, Ensure That Sinks Are Configured for All Log Entries (Automated) 
2.3, Ensure That Retention Policies on Cloud Storage Buckets Used for Exporting Logs Are Configured Using Bucket Lock (Automated) 
2.5, Ensure That the Log Metric Filter and Alerts Exist for Audit Configuration Changes (Automated) 
2.6, Ensure That the Log Metric Filter and Alerts Exist for Custom Role Changes (Automated) 
2.7, Ensure That the Log Metric Filter and Alerts Exist for VPC Network Firewall Rule Changes (Automated) 
2.8, Ensure That the Log Metric Filter and Alerts Exist for VPC Network Route Changes (Automated) 
